## Statistics for input size of 10

2.6352314
         1959 function calls (1903 primitive calls) in 0.027 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(exec_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        7    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
       45    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        7    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       23    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       14    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       19    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      6/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:877(exec_module)
        6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.012    0.012 __init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 advanced.py:1(<module>)
        1    0.000    0.000    0.000    0.000 advanced.py:17(Advanced)
        1    0.000    0.000    0.000    0.000 advanced.py:19(__init__)
       13    0.000    0.000    0.000    0.000 advanced.py:28(power)
        1    0.000    0.000    0.000    0.000 advanced.py:69(rootn)
        1    0.000    0.000    0.000    0.000 basic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 basic.py:12(Basic)
        1    0.000    0.000    0.000    0.000 basic.py:24(__init__)
       20    0.000    0.000    0.000    0.000 basic.py:33(add)
        2    0.000    0.000    0.000    0.000 basic.py:42(sub)
        2    0.000    0.000    0.000    0.000 basic.py:51(mul)
        2    0.000    0.000    0.000    0.000 basic.py:60(div)
       40    0.000    0.000    0.000    0.000 basic.py:67(int_translate)
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 codecs.py:331(getstate)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(BadOperandException)
        1    0.000    0.000    0.002    0.002 expressions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expressions.py:18(MathParsing)
        1    0.000    0.000    0.027    0.027 profile:0(<code object <module> at 0x7f008c2d5b00, file "profiling.py", line 1>)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.018    0.018 profiling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiling.py:19(calculate_mean)
        1    0.000    0.000    0.000    0.000 profiling.py:6(calculate_deviation)
        1    0.000    0.000    0.000    0.000 stack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stack.py:6(Stack)



## Statistics for input size of 1000

286.8127105
         14826 function calls (14770 primitive calls) in 0.036 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 :0(__build_class__)
       32    0.001    0.000    0.001    0.000 :0(__exit__)
      7/1    0.000    0.000    0.018    0.018 :0(__import__)
        1    0.000    0.000    0.000    0.000 :0(__new__)
        6    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       43    0.000    0.000    0.000    0.000 :0(acquire_lock)
       16    0.000    0.000    0.000    0.000 :0(allocate_lock)
        1    0.000    0.000    0.000    0.000 :0(create_builtin)
        6    0.000    0.000    0.000    0.000 :0(endswith)
      7/1    0.000    0.000    0.029    0.029 :0(exec)
        1    0.000    0.000    0.000    0.000 :0(exec_builtin)
        8    0.000    0.000    0.000    0.000 :0(extend)
        5    0.000    0.000    0.000    0.000 :0(format)
       18    0.000    0.000    0.000    0.000 :0(from_bytes)
       18    0.000    0.000    0.000    0.000 :0(fspath)
       17    0.000    0.000    0.000    0.000 :0(get)
       26    0.000    0.000    0.000    0.000 :0(get_ident)
       46    0.000    0.000    0.000    0.000 :0(getattr)
        1    0.000    0.000    0.000    0.000 :0(getcwd)
       42    0.000    0.000    0.000    0.000 :0(hasattr)
        1    0.000    0.000    0.000    0.000 :0(input)
        2    0.000    0.000    0.000    0.000 :0(is_builtin)
        7    0.000    0.000    0.000    0.000 :0(is_frozen)
     3010    0.001    0.000    0.001    0.000 :0(is_integer)
     3049    0.001    0.000    0.001    0.000 :0(isinstance)
        1    0.000    0.000    0.000    0.000 :0(iter)
      101    0.000    0.000    0.000    0.000 :0(join)
       26    0.000    0.000    0.000    0.000 :0(len)
        2    0.001    0.000    0.001    0.000 :0(listdir)
        6    0.000    0.000    0.000    0.000 :0(loads)
       12    0.000    0.000    0.000    0.000 :0(max)
        6    0.003    0.000    0.003    0.000 :0(open_code)
        8    0.000    0.000    0.000    0.000 :0(pop)
     1003    0.001    0.000    0.001    0.000 :0(pow)
        1    0.000    0.000    0.000    0.000 :0(print)
        6    0.001    0.000    0.001    0.000 :0(read)
       43    0.000    0.000    0.000    0.000 :0(release_lock)
       12    0.000    0.000    0.000    0.000 :0(rfind)
        9    0.000    0.000    0.000    0.000 :0(round)
       52    0.000    0.000    0.000    0.000 :0(rpartition)
